Timestamp (h:m:s.ms.us.ns dur),Status,Address(7b),RW,Data,ASCII,Error,Information,
,,,,,,,*** Capture Started
13:28:12.559.327.840 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.560.818.380 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.561.019.720 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.562.876.680 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.563.078.020 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.563.652.560 574.540us,Start,58*,Wr,9C* ,.,, 
13:28:12.563.853.900 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.565.710.860 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.565.912.200 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.566.669.960 757.760us,Start,58*,Wr,9E* ,.,, 
13:28:12.566.871.300 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.568.643.800 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.569.761.160 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.570.152.600 391.440us,Start,58*,Wr,99* ,.,, 
13:28:12.570.353.940 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.571.844.440 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.572.045.780 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.573.902.780 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.574.104.120 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.574.678.760 574.640us,Start,58*,Wr,9C* ,.,, 
13:28:12.574.880.100 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.576.737.000 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.576.938.340 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.577.696.140 757.800us,Start,58*,Wr,9E* ,.,, 
13:28:12.577.897.480 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.579.669.820 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.580.787.200 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.581.178.540 391.340us,Start,58*,Wr,99* ,.,, 
13:28:12.581.379.880 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.582.870.540 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.583.071.880 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.584.928.840 001.856ms,Start,58*,Wr,9B* ,.,, 
13:28:12.585.130.180 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.585.704.780 574.600us,Start,58*,Wr,9C* ,.,, 
13:28:12.585.906.120 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.587.763.100 001.856ms,Start,58*,Wr,9D* ,.,, 
13:28:12.587.964.460 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.588.722.160 757.700us,Start,58*,Wr,9E* ,.,, 
13:28:12.588.923.520 201.360us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.590.695.960 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.591.813.340 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
13:28:12.592.204.680 391.340us,Start,58*,Wr,99* ,.,, 
13:28:12.592.406.020 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF* ,..............,, 
13:28:12.593.896.600 001.490ms,Start,58*,Wr,9A* ,.,, 
13:28:12.594.097.940 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.595.954.980 001.857ms,Start,58*,Wr,9B* ,.,, 
13:28:12.596.156.320 201.340us,Repeat Start,58*,Rd,FF FF FF FF* ,....,, 
13:28:12.596.730.960 574.640us,Start,58*,Wr,9C* ,.,, 
13:28:12.596.932.300 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF FF* ,..................,, 
13:28:12.598.789.300 001.857ms,Start,58*,Wr,9D* ,.,, 
13:28:12.598.990.640 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF* ,......,, 
13:28:12.599.748.400 757.760us,Start,58*,Wr,9E* ,.,, 
13:28:12.599.949.740 201.340us,Repeat Start,58*,Rd,FF FF FF FF FF FF FF FF   FF FF FF FF FF FF FF FF   FF* ,.................,, 
13:28:12.601.722.220 001.772ms,Start,58*,Wr,98* 98* 98* 98* 98* 98* 98* 98*   98* 98* 98* ,...........,, 
13:28:12.602.839.600 001.117ms,Repeat Start,58*,Rd,FF FF* ,..,, 
