[2023-08-17  11:07:38:316139] ： S 58 W 7D Sr 58  R FF C7 C7 C7 C7 C7 C7 C7 C7 C7
[2023-08-17  11:07:38:439654] ： S 58 W 7E Sr 58  R FF 7A 7A 7A 7A 7A 7A 7A 7A 7A
[2023-08-17  11:07:38:563948] ： S 58 W 81 Sr 58  R 00 A2 A2 A2 A2 A2 A2 A2 A2 A2
[2023-08-17  11:07:38:689260] ： S 58 W 86 Sr 58  R 06 47 73 1E 36 D4 00 61 61 61
[2023-08-17  11:07:38:814277] ： S 58 W 86 Sr 58  R 06 F8 73 1E 37 D4 00 D3 D3 D3
[2023-08-17  11:07:38:937316] ： S 58 W 87 Sr 58  R 06 B9 42 0D CE 49 08 FA FA FA
[2023-08-17  11:07:39:061218] ： S 58 W 87 Sr 58  R 06 A4 4C 0D DE 49 08 56 56 56
[2023-08-17  11:07:39:198900] ： S 58 W 88 Sr 58  R 9A F3 75 75 75 75 75 75 75 75
[2023-08-17  11:07:39:370028] ： S 58 W 89 Sr 58  R CF C0 B7 B7 B7 B7 B7 B7 B7 B7
[2023-08-17  11:07:39:497683] ： S 58 W 8B Sr 58  R 6F 18 85 85 85 85 85 85 85 85
[2023-08-17  11:07:39:619472] ： S 58 W 8C Sr 58  R 41 D3 E0 E0 E0 E0 E0 E0 E0 E0
[2023-08-17  11:07:39:743566] ： S 58 W 8D Sr 58  R 44 F8 66 66 66 66 66 66 66 66
[2023-08-17  11:07:39:871161] ： S 58 W 8E Sr 58  R 54 F8 0B 0B 0B 0B 0B 0B 0B 0B
[2023-08-17  11:07:40:009348] ： S 58 W 8F Sr 58  R 57 F8 22 22 22 22 22 22 22 22
[2023-08-17  11:07:40:133679] ： S 58 W 90 Sr 58  R 6F 1A 66 66 66 66 66 66 66 66
[2023-08-17  11:07:40:257646] ： S 58 W 96 Sr 58  R 7B F2 87 87 87 87 87 87 87 87
[2023-08-17  11:07:40:382193] ： S 58 W 97 Sr 58  R C7 F2 22 22 22 22 22 22 22 22
